# one hour of 5Hz jitter data
# from 24-hour data set generated 13apr2017 by tamz
# t,dq0,dq1,dq2,dq3
52,1.00000012703691,2.57166847917548e-06,-1.25422671802197e-06,-2.24180300197052e-06
52.2,1.00000012703709,2.42356816493837e-06,-1.24390373491476e-06,-2.33016611637937e-06
52.4000000000001,1.00000012703722,2.2734546649911e-06,-1.21921652165152e-06,-2.43783763642647e-06
52.6000000000001,1.00000012703724,2.13945685329734e-06,-1.18755190300912e-06,-2.56310488134376e-06
52.8,1.00000012703744,2.0089880925821e-06,-1.13728974741184e-06,-2.61223406686217e-06
53,1.00000012703766,1.86801648944038e-06,-1.0735473776613e-06,-2.65910867189995e-06
53.2,1.00000012703784,1.72069793999939e-06,-1.00385835410249e-06,-2.71774779819767e-06
53.4000000000001,1.00000012703817,1.56822902705554e-06,-9.07674518092066e-07,-2.72273843406057e-06
53.6000000000001,1.0000001270384,1.42176414714198e-06,-8.06358955426911e-07,-2.7500901335839e-06
53.8,1.00000012703852,1.28892660743087e-06,-7.17296048485111e-07,-2.79739178994654e-06
54,1.00000012703875,1.18190077647972e-06,-6.12414572040421e-07,-2.78683774702915e-06
54.2,1.0000001270389,1.10871033289547e-06,-5.21194221454746e-07,-2.78054537050654e-06
54.4000000000001,1.00000012703901,1.04822698944376e-06,-4.44304356830155e-07,-2.779596785768e-06
54.6000000000001,1.00000012703925,1.00463015717533e-06,-3.30772549295144e-07,-2.72269464716979e-06
54.8,1.00000012703943,9.90200856442781e-07,-2.22790784959459e-07,-2.67322987140134e-06
55,1.0000001270396,9.45277376531925e-07,-1.23569286865355e-07,-2.63374692140855e-06
55.2,1.00000012703983,9.0128777308681e-07,1.02272147937954e-08,-2.5617915774892e-06
55.4000000000001,1.00000012703993,8.86010633257585e-07,1.20147088712025e-07,-2.52465395882834e-06
55.6000000000001,1.00000012704001,8.49145851944053e-07,2.05337557995094e-07,-2.49925590754124e-06
55.8,1.00000012704019,8.28228055768307e-07,3.17878995164528e-07,-2.42291180634763e-06
56,1.00000012704032,8.55929659961986e-07,3.90312997932546e-07,-2.34989854441814e-06
56.2,1.00000012704047,8.69928644367697e-07,4.53570297275635e-07,-2.26509826493221e-06
56.4000000000001,1.00000012704068,9.2081513473289e-07,5.6162325688669e-07,-2.1257219094753e-06
56.6000000000001,1.00000012704079,1.01437927271016e-06,6.25575221509939e-07,-2.00738895785729e-06
