# TESS ephemerides
#
# source: examples/ephem/tess.tm
# start:
#  UTC: 2018-04-20T20:00:00
#   ET: 577526469.186
# end:
#  UTC: 2018-06-30T00:00:00
#   ET: 583588869.184
# increment: 3600.0s
#
# time is TESS epoch in seconds
# positions are relative to the solar system barycenter, in km
# velocities in km/s
#
# time, x, y, z, vx, vy, vz
498.759993836,-120611199.222,-81070269.9032,-35186949.6594,17.1451200673,-21.7712516048,-9.39976355812
498.762286373,-120549454.564,-81148642.9307,-35220785.817,17.157473518,-21.7693115457,-9.39810007288
498.764689283,-120487665.372,-81227008.8922,-35254615.9682,17.1698608083,-21.7673264004,-9.39642682052
498.767202064,-120425831.527,-81305367.6292,-35288440.0792,17.1822805479,-21.7652982976,-9.39474445801
498.769824241,-120363952.914,-81383718.9909,-35322258.1182,17.1947313911,-21.763229327,-9.39305363544
498.772555368,-120302029.425,-81462062.8338,-35356070.0559,17.2072120345,-21.7611215427,-9.39135499678
498.775395025,-120240060.954,-81540399.0219,-35389875.8655,17.2197212155,-21.7589769649,-9.38964918063
498.778342818,-120178047.4,-81618727.4262,-35423675.5222,17.2322577095,-21.7567975831,-9.3879368208
498.781398382,-120115988.667,-81697047.9251,-35457469.0035,17.2448203286,-21.7545853586,-9.3862185471
498.784561375,-120053884.663,-81775360.4037,-35491256.2894,17.2574079196,-21.7523422264,-9.38449498605
498.787831481,-119991735.301,-81853664.7543,-35525037.3618,17.2700193625,-21.7500700976,-9.3827667613
498.791208408,-119929540.496,-81931960.8759,-35558812.2052,17.2826535688,-21.7477708623,-9.38103449463
498.794691888,-119867300.169,-82010248.6742,-35592580.8061,17.2953094799,-21.7454463908,-9.3792988063
498.79828168,-119805014.243,-82088528.0618,-35626343.1533,17.3079860658,-21.7430985362,-9.37756031579
498.801977562,-119742682.646,-82166798.9578,-35660099.2378,17.3206823235,-21.7407291366,-9.37581964249
498.805779338,-119680305.308,-82245061.2879,-35693849.0528,17.3333972764,-21.7383400169,-9.3740774063
498.809686836,-119617882.164,-82323314.9845,-35727592.5939,17.3461299721,-21.7359329907,-9.37233422816
498.813699904,-119555413.152,-82401559.9862,-35761329.8589,17.3588794817,-21.7335098627,-9.37059073083
498.817818414,-119492898.213,-82479796.2383,-35795060.8476,17.371644899,-21.7310724301,-9.3688475395
498.82204226,-119430337.291,-82558023.6926,-35828785.5623,17.3844253386,-21.728622485,-9.36710528223
498.826371358,-119367730.334,-82636242.3073,-35862504.0075,17.3972199356,-21.7261618158,-9.36536459086
498.830805648,-119305077.291,-82714452.047,-35896216.19,17.4100278445,-21.7236922096,-9.36362610151
498.835345088,-119242378.118,-82792652.8827,-35929922.1188,17.4228482376,-21.7212154535,-9.36189045519
