This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Apr 03 07:45:18 2020																																																				
																																																				
TIC ID	TOI	Previous CTOI	Master priority	SG1A priority	SG1B priority	SG2 priority	SG3 priority	SG4 priority	SG5 priority	ACWG priority	TESS Disposition	TFOPWG Disposition	TESS mag	TESS mag error	PCs	Source	RA (degrees)	Dec (degrees)	PM RA (mas/yr)	PM RA error	PM Dec (mas/yr)	PM Dec error	Epoch (BJD)	Epoch error	Period (days)	Period error	Duration (hours)	Duration error	Depth (mmag)	Depth (mmag) error	Depth (ppm)	Depth (ppm) error	Planet Radius (R_Earth)	Planet Radius error	Planet Insolation (Earth flux)	Planet Eq Temp (K)	Planet SNR	Stellar Distance (pc)	Stellar Distance error	Stellar Teff (K)	Stellar Teff error	Stellar log(g) (cm/s2)	Stellar log(g) error	Stellar Radius (R_Sun)	Stellar Radius error	Stellar Metallicity	Stellar Metallicity error	Sectors	Comments	Date TOI Alerted (by TESS Project)	Date TOI Updated (by TESS Project)	Date Modified (by ExoFOP-TESS)
140068425	140.01		3	4	4	3	4	4	4	5	PC		9.7828	0.006	1	spoc	330.301777	-49.060077	32.489	0.077	-15.438	0.075	2458327.399292	0.001311	2.28139	0.000207	0.859711	0.116683	1.170393	0.107399	1077.390747	98.912842	5.069735	5.087404	1742.578491	1647.850586	0.832334	337.105	5.7035	6174	194	4.27404	2.00568	1.31178	1.31178			1		2018-09-05	2019-12-17	2020-01-16
403224672	141.01		1	5	5	5	4	1	2	1	PC	CP	7.384	0.006	1	spoc	338.983717	-59.864829	-108.388	0.05	-84.419	0.064	2458325.538574	0.001209	1.007908	0.000085	1.534232	0.161406	0.239317	0.011465	220.394485	10.559796	1.974088	0.429755	2928.328857	1876.180908	0.795608	48.0883	0.0989	5795.290039	44.580399	4.438		1.18947	0.106891			1		2018-09-05	2019-12-17	2020-01-16
425934411	142.01		3	5	5	3	1	4	4	5	PC		14.7109	0.007	1	spoc	4.60586	-62.847875	6.11	0.068	5.18	0.059	2458325.489746	0.000851	0.853319	0.000024	1.139772	0.074358	30.666932	1.798922	27850.119141	1655.496704	21.801229	12.37259	516.976685	1216.151001	22.001486	320.237	4.469	3658	162	4.438		1				"1,2"	Gaia stellar radii 0.69 Rsun.	2018-09-05	2019-12-17	2020-01-16
25375553	143.01		5	5	5	5	5	5	5	5	PC	KP	9.77486	0.006	1	spoc	328.767739	-22.6126	12.885	0.101	-4.311	0.105	2458325.58252	0.000343	2.310894	0.000055	3.422324	0.025078	7.560571	0.050386	6939.354004	46.406292	17.627707	3.516223	4218.115234	2055.414307	0.873101	298.109	6.691	6371	197	3.94807	0.439603	1.98196	0.395184			1		2018-09-05	2019-12-17	2020-01-16
261136679	144.01		1	5	5	5	4	1	1	1	PC	CP	5.1054	0.006	1	spoc	84.29928	-80.464604	311.187	0.127	1048.84	0.136	2458325.505005	0.001062	6.267726	0.000099	2.934834	0.265566	0.314561	0.019027	289.679352	17.524027	1.72231	0.876033	253.454041	1017.64093	13.214754	18.2702	0.0226	5950		4.438		1		0.0887839	0.00649598	"1,4"	Pi Men c	2018-09-05	2019-12-17	2020-01-16
265612438	145.01		3	4	4	3	2	4	4	5	PC		11.6789	0.006	1	qlp	333.174716	-55.978803	-5.816	0.065	-4.917	0.063	2458327.049561	0.00317	5.12944	0.00132	4.832	0.202	3.671756	0.002519	3376.100098	2.32	10.357	0.365187	502.843994	1319	22	438.421	8.695	5430.700195	64.5	4.4	2	1.62	0.04			1	Some confusion about whether source is this star or the close pair of equal brightness stars to the NE (260985864)- but difference image seems to indicate source is more likely to be this star.	2018-09-05	2019-12-17	2020-01-16
355636844	146.01		5	5	5	5	5	5	5		KP	FP	10.241	0.019	1	qlp	358.302105	-56.013338	72.2	2	-39.62	2	2458330.556152	0.00445	6.29632	0.00401	2.938	0.305	1.063811	0.002052	979.325989	1.89					15			6905	204							1	Signal coming from a faint star to the SE. At least for the brighter of those it could be a planet.	2018-09-05	2019-12-17	2020-03-04
220435095	147.01		3	4	3	3	2	4	4	5	PC		11.8999	0.006	1	qlp	73.641474	-57.513453	5.001	0.053	22.236	0.054	2458326.611084	0.00143	3.42316	0.00033	1.95	0.406	10.565467	0.019652	9683.959961	18.1	26.576799	1.73554	844.018982	1501	42	820.079	16.5695	5808.299805	137.399994			2.46	0.12	-0.773322	0.1	1		2018-09-05	2019-12-17	2020-01-16
393940766	148.01		3	4	3	3	2	3	4	5	PC		11.7835	0.006	1	qlp	338.320803	-38.159828	22.348	0.07	-25.839	0.072	2458327.331299	0.00241	4.8661	0.00101	3.215	0.228	5.473965	0.005114	5029.02002	4.71	9.70106	3.16125	326.709991	1184	26	395.257	9.729	5814.299805	793.799988	4.34	2	1.24	0.4			1	Planet candidate around 393940766 to the NW.	2018-09-05	2019-12-17	2020-01-16
260985861	149.01		3	5	5	3	2	4	4	5	PC		10.14	0.018	1	qlp	76.635858	-80.768114	-5.5	2.3	18.2	2.2	2458327.402222	0.002	3.34024	0.00049	4.077	0.323	5.532205	0.00291	5082.390137	2.68			572.591858	1247.616333	13			5095.600098	1193.099976							1	Source is apparently 260985864- which may be a planet depending on host star size.	2018-09-05	2019-12-17	2020-01-16
271893367	150.01		3	5	5	3	2	4	4	5	PC		10.9031	0.006	1	qlp	112.965421	-73.606036	-15.215	0.029	27.144	0.033	2458326.27832	0.00139	5.85758	0.00053	5.818	0.107	8.048768	0.001065	7385.779785	0.981	14.9738	0.259698	702.904724	1313.239258	36	336.267	1.916	5766	37.299999	4.1	0.11	1.58	0.02	0.211186	0.046085	1		2018-09-05	2019-12-17	2020-01-16
